employee_id,fullname,area,position,department,division,directorate,grade,education,major,years_of_service_months,CEX,CSI,FTC,GDR,IDS,LIE,QDD,SEA,STO,VCU,rating_2025,iq,mbti,pauli,faxtor,disc,qtq,tiki,Papi_A,Papi_B,Papi_C,Papi_D,Papi_E,Papi_F,Papi_G,Papi_I,Papi_K,Papi_L,Papi_N,Papi_O,Papi_P,Papi_R,Papi_S,Papi_T,Papi_V,Papi_W,Papi_X,Papi_Z,strength_1,strength_2,strength_3,strength_4,strength_5,tenure_years,competency_mean,cognitive_index,is_top_performer,strength_count,grade_num,strength_match_score,success_score
DUP1942,Dewi Fadillah Hidayat,Store,Brand Executive,Marketing,Digital Marketing,Commercial,IV,S1,Design,79,0.04040404,0.040816327,5,5,0.050505051,,5,0.050505051,5,0.050505051,5,,ISFP,55,54,CD,,8,6,,1,4,3,5,4,0,3,6,,3,0.5,7,9,9,1,0.875,3,,Learner,Maximizer,Ideation,Harmony,Restorative,0.530201342,4.888888889,0.390355913,1,5,0.5,1,30.3596318
DUP2096,Putri Wibowo,Plant,HRBP,Marketing,Operations,HR & Corp Affairs,III,S2,Engineering,49,0.03030303,0.020408163,2,3,0.04040404,3,2,0.03030303,3,0.03030303,3,,ISFJ,27,62,SD,,4,1,6,9,3,4,1,2,0.625,9,3,1,4,0.375,6,8,2,6,0.25,8,2,Command,Significance,Competition,Discipline,Woo,0.32885906,2.9,0.252583238,0,5,0,0,10.08465561
DUP2722,Dewi Syahputra,Store,Sales Supervisor,Finance,Digital Marketing,HR & Corp Affairs,IV,S1,Design,33,0.03030303,0.040816327,5,5,0.04040404,5,3,0.04040404,,0.050505051,4,124,ISTJ,83,22,DI,18,2,2,,6,4,1,4,9,1,1,3,8,2,,6,1,7,3,0.625,3,3,Individualization,Self-Assurance,,Analytical,Input,0.22147651,4.333333333,0.576349024,0,4,0.5,1,
DUP3015,Bayu Kurniawan,Store,Brand Executive,IT,Talent Management,Technology,III,SMA,Business,79,0.02020202,0.020408163,3,3,0.04040404,3,3,0.03030303,4,0.03030303,3,87,ESFP,81,55,CD,22,6,5,4,3,4,9,2,8,1,1,7,5,1,0.875,7,3,,,0.25,5,3,Responsibility,Context,Includer,Communication,Ideation,0.530201342,3.1,0.583237658,0,5,0,0,17.4016991
DUP3452,Fitri Anugrah Subekti,Store,Finance Officer,IT,Talent Management,Technology,V,D3,Psychology,50,0.03030303,0.010204082,2,3,0.03030303,3,4,0.04040404,3,0.04040404,3,90,ESFJ,60,65,ID,38,7,7,9,1,9,7,3,,0.125,1,4,,,0.375,2,9,,9,0,6,4,Developer,Arranger,Self-Assurance,Futuristic,Learner,0.33557047,3.1,0.61423651,0,5,1,2,44.49402182
DUP4177,Adi Ginting,HQ,Supply Planner,Marketing,Sales,HR & Corp Affairs,V,S1,Business,75,0.02020202,0.010204082,2,1,0.02020202,2,1,0.02020202,2,0.03030303,2,,ENTJ,41,22,DS,,8,9,7,2,6,1,,4,0.375,3,9,8,3,0.25,,7,6,3,0,3,2,Arranger,Significance,Harmony,Strategic,Adaptability,0.503355705,1.9,0.126291619,0,5,1,0,10.05703444
DUP5237,Fajar Fauziah,Store,HRBP,R&D,Digital Marketing,Technology,IV,D3,Statistics,8,0.03030303,,3,4,0.04040404,3,3,0.03030303,3,0.03030303,3,121,ESFP,99,61,DS,30,10,9,3,3,2,3,2,2,,8,8,3,2,0.125,5,4,6,4,1,7,9,Harmony,Discipline,Connectedness,Learner,Analytical,0.053691275,3.222222222,0.824339839,0,5,0.5,0,
DUP9015,Umar Maulana,Store,Sales Supervisor,HR,Operations,Commercial,IV,S2,Economics,50,0.02020202,0.020408163,4,3,0.03030303,4,4,0.04040404,3,0.03030303,3,134,ENTP,26,42,SC,41,8,6,8,6,1,4,8,4,1,7,,4,4,0.625,4,1,5,1,0.875,8,5,Belief,Relator,,Consistency,Context,0.33557047,3.3,0.583237658,0,4,0.5,0,18.81364575
DUP9129,Nabila Dharma Salsabila,Plant,Supply Planner,Operations,Product Dev,HR & Corp Affairs,V,SMA,Design,50,0.03030303,0.020408163,4,4,0.04040404,4,5,0.04040404,4,0.050505051,,93,ESFP,28,51,IC,36,2,9,,4,9,5,1,1,0.5,9,3,2,4,0.25,6,5,2,9,0.625,6,3,Belief,Empathy,Focus,Ideation,,0.33557047,4,0.442020666,0,4,1,0,15.57571825
DUP9801,Ayu Kusuma Santoso,Plant,Finance Officer,IT,Digital Marketing,Technology,III,S1,Engineering,7,0.050505051,0.040816327,4,5,0.050505051,4,5,0.050505051,5,0.050505051,5,131,ISTJ,37,64,SC,28,7,1,1,4,7,8,2,9,0.625,5,,2,7,0.5,6,3,9,9,,9,1,,Responsibility,Communication,,Positivity,0.046979866,4.8,0.638346728,1,3,0,0,
EMP100000,Rendra Pratama,Store,Brand Executive,R&D,Product Dev,Technology,IV,S2,Business,64,0.03030303,0.020408163,4,3,0.04040404,3,3,0.02020202,3,0.04040404,3,94,,86,75,SI,33,2,1,6,5,,1,3,5,0.875,,7,2,9,0.25,7,9,3,4,0.375,2,1,,Adaptability,Context,Competition,Activator,0.429530201,3.2,0.717566016,0,4,0.5,1,32.29213203
EMP100001,Wulan Setiawan,Store,HRBP,Operations,Talent Management,Technology,III,D3,Design,16,0.02020202,0.020408163,3,2,0.03030303,2,2,,2,0.03030303,3,94,INTP,48,52,DS,17,3,3,1,7,4,2,2,2,0.375,6,7,8,9,0.5,3,3,6,7,0,6,9,Responsibility,Includer,Significance,Context,Adaptability,0.10738255,2.444444444,0.455797933,0,5,0,0,
EMP100002,Julia Jatmiko Situmorang,Plant,Sales Supervisor,Finance,Digital Marketing,Technology,III,S2,Business,58,0.050505051,0.020408163,,3,0.03030303,3,5,0.03030303,4,0.04040404,4,109,,66,38,DC,20,3,2,,4,2,5,7,2,0.875,4,,9,5,0.25,1,3,9,9,0,4,6,Restorative,Maximizer,Woo,Includer,Command,0.389261745,3.666666667,0.531572905,0,5,0,1,27.85838389
EMP100003,Oka Halim,Plant,HRBP,HR,Digital Marketing,Commercial,IV,S1,Psychology,15,0.03030303,0.020408163,3,4,0.03030303,2,3,0.03030303,,0.04040404,3,85,ENTJ,39,63,SI,39,3,,8,9,2,6,5,3,0.875,5,3,9,1,0.875,9,1,1,7,0.75,4,3,Belief,Intellection,Arranger,,Adaptability,0.100671141,3.111111111,0.507462687,0,4,0.5,1,32.18190444
EMP100004,Dwi Pratama,Store,Supply Planner,Operations,Product Dev,Technology,III,D3,Psychology,34,0.04040404,0.020408163,3,4,0.03030303,,3,0.03030303,5,,4,134,INTJ,75,100,,21,9,5,4,4,5,3,7,8,1,1,3,7,6,0.75,1,2,9,2,0,3,6,Deliberative,Command,Woo,Communication,Ideation,0.228187919,3.5,0.886337543,0,5,0,0,
EMP100005,Bayu Zulfikar,Distribution,Sales Supervisor,HR,Product Dev,Commercial,III,S2,Business,66,0.03030303,0.020408163,2,2,0.02020202,3,3,0.02020202,2,0.03030303,3,130,,69,35,DC,21,7,,5,4,6,6,7,3,,5,1,,,0.625,2,8,1,8,0.125,8,9,Input,Relator,Woo,Deliberative,Consistency,0.44295302,2.5,0.621125144,0,5,0,0,
EMP100006,Indra Santoso,Plant,Finance Officer,HR,Digital Marketing,HR & Corp Affairs,III,D3,Engineering,82,0.03030303,0.040816327,4,4,0.050505051,4,4,0.04040404,3,0.04040404,4,139,ESFP,94,24,SC,27,6,7,9,6,4,6,1,9,0.25,6,6,2,,0.75,3,4,8,6,,,7,Input,Analytical,Responsibility,Maximizer,Self-Assurance,0.55033557,4,0.717566016,0,5,0,1,
EMP100007,Rani Mahendra,Plant,HRBP,IT,Operations,HR & Corp Affairs,V,S1,Business,56,0.02020202,0.010204082,2,2,,2,3,0.01010101,1,0.02020202,2,99,ESFJ,65,45,DS,17,4,1,2,5,2,2,7,1,0.75,7,2,7,9,1,9,3,3,5,1,,6,Connectedness,Strategic,Consistency,Communication,Focus,0.375838926,1.888888889,0.510907003,0,5,1,0,
EMP100008,Gita Permadi,Store,Finance Officer,Finance,Talent Management,Commercial,III,SMA,Business,40,0.03030303,0.020408163,3,4,0.03030303,3,2,0.03030303,3,0.02020202,3,137,INFP,47,97,ID,23,1,5,6,2,,6,3,6,0.75,4,8,9,1,1,3,7,,6,0,2,6,,Ideation,Focus,Individualization,Positivity,0.268456376,2.9,0.769230769,0,4,0,0,16.85189528
EMP100009,Julia Anggara,HQ,Sales Supervisor,R&D,Sales,Commercial,V,S2,Design,77,0.03030303,0,3,2,0.02020202,2,3,0.03030303,1,0.02020202,,82,ISFP,21,84,DS,29,4,2,3,8,1,4,6,3,0.375,1,2,9,9,0,6,,6,3,0.875,7,9,Analytical,Developer,Relator,Belief,Ideation,0.516778523,2.2,0.476463835,0,5,1,0,15.36115723
